ID	Value
PBED1001	ਵਿਆਹ\N_NN ਤੋਂ\PSP ਬਾਅਦ\RB ਚਿਤਰਾਂਗਦਾ\N_NNP ਸਿੰਘ\N_NNP ਤਾਂ\PSP ਹੋਰ\N_NN ਨਿੱਖਰ\JJ ਗਈ\V_VM_VF ਹੈ।\V_VAUX
PBED1002	ਘੱਟੋ-ਘੱਟ\JJ ਅਭਿਨੈ\N_NN ਦੇ\PSP ਮਾਮਲੇ\N_NN `\RD_PUNC ਚ\PSP ਉਹ\PR_PRP ਨਿੱਤ\RB ਨਵੀਆਂ\JJ ਪੁਲਾਂਘਾਂ\N_NN ਪੁੱਟ\V_VM ਰਹੀ\V_VM_VF ਹੈ\V_VAUX |\N_NN
PBED1003	`\RD_PUNC ਜੋਕਰ\N_NNP `\RD_PUNC ਦੀ\PSP ਆਈਟਮ\N_NN ਗਰਲ\N_NN ਤੇ\N_NN `\RD_PUNC ਇਨਕਾਰ\N_NNP `\RD_PUNC ਫ਼ਿਲਮ\N_NN ਦੀ\PSP ਇਹ\PR_PRL ਨਾਇਕਾ\N_NN `\RD_PUNC ਰੇਸ-2\N_NNP `\RD_PUNC ਨਾਲ\PSP ਵੀ\RP_RPD ਚੋਟੀ\JJ ਦੀਆਂ\PSP ਨਾਇਕਾਵਾਂ\N_NN ਦੀ\PSP ਰੇਸ\N_NN ਅਰਥਾਤ\N_NN ਦੌੜ\N_NN `\RD_PUNC ਚ\PSP ਅੱਗੇ\RB ਹੈ\V_VAUX ।\RD_PUNC
PBED1004	ਵੱਖਰੀ\JJ ਕਿਸਮ\N_NN ਦੀਆਂ\PSP ਫ਼ਿਲਮਾਂ\N_NN ਤੋਂ\PSP ਬਾਅਦ\RB ਵਪਾਰਕ\N_NN ਫ਼ਿਲਮਾਂ\N_NN `\RD_PUNC ਚ\PSP ਉਸ\PR_PRP ਦੀ\PSP ਗੱਲ\N_NN ਖੂਬ\JJ ਬਣ\V_VM ਗਈ\V_VM_VF ਹੈ।\V_VAUX
PBED1005	`\RD_PUNC ਜੋਕਰ\N_NNP `\RD_PUNC ਦੇ\PSP ਗੀਤ\N_NN `\RD_PUNC ਕਾਫਿਰਾਨਾ\N_NNP `\RD_PUNC ਨੇ\PSP ਉਸ\PR_PRP ਦੀ\PSP ਕਾਰਗੁਜ਼ਾਰੀ\N_NN ਤੇ\N_NN ਸਵਾਲ\N_NN ਖੜ੍ਹੇ\V_VM_VF ਕੀਤੇ\V_VM_VF ਸਨ\V_VAUX |\N_NN
PBED1006	ਇਸ\DM_DMD ਵੇਲੇ\RB ਚਿਤਰਾਂਗਦਾ\N_NNP `\RD_PUNC ਆਈ\N_NNP ਮੀ\N_NNP ਔਰ\N_NNP ਮੈਂ\N_NNP `\RD_PUNC ਫ਼ਿਲਮ\N_NN ਨਾਲ\N_NN ਫਿਰ\RB ਦਰਸ਼ਕਾਂ\N_NN ਦੇ\PSP ਸਾਹਮਣੇ\RB ਹੈ\V_VAUX |\N_NN
PBED1007	ਸਿ੍ਸ਼ਟੀ\N_NNP ਆਰੀਆ\N_NNP ਦੀ\PSP ਇਸ\PR_PRL ਫ਼ਿਲਮ\N_NN `\RD_PUNC ਚ\PSP ਉਹ\PR_PRP ਅਨੁਸ਼ਕਾ\N_NNP ਲਾਲ\N_NNP ਦੀ\PSP ਭੂਮਿਕਾ\N_NN `\RD_PUNC ਚ\PSP ਹੈ\V_VAUX |\N_NN
PBED1008	ਚਿਤਰਾਂਗਦਾ\N_NNP ਦੇ\PSP ਨਾਲ\PSP ਜਾਨ\N_NNP ਅਬਰਾਹਮ\N_NNP ਤੇ\CC_CCD ਪ੍ਰਾਚੀ\N_NNP ਦੇਸਾਈ\N_NNP ਹਨ\V_VAUX |\N_NN
PBED1009	ਕਾਮੇਡੀ\N_NN ਤੇ\CC_CCD ਰੁਮਾਂਸ\N_NN ਵਾਲੀ\PSP `\RD_PUNC ਆਈ\N_NNP ਮੀ\N_NNP ਔਰ\N_NNP ਮੈਂ\N_NNP `\RD_PUNC ਦੇ\PSP ਗੀਤ\N_NN `\RD_PUNC ਨਾ\RP_NEG ਜਾਨੇ\N_NN ਕਹਾਂਸੇ\N_NN ਆਇਆ\N_NN `\RD_PUNC ਨੂੰ\PSP ਫ਼ਿਲਮ\N_NN ਦਾ\PSP ਵਧੀਆਨੁਕਤਾ\N_NN ਦੱਸਣ\V_VM_VNF ਵਾਲੀ\N_NN ਚਿਤਰਾਂਗਦਾ\N_NNP ਫ਼ਿਲਮ\N_NN ਦੇ\PSP ਨਿਰਦੇਸ਼ਕ\N_NN ਕਪਿਲ\N_NNP ਸ਼ਰਮਾ\N_NNP ਦਾ\PSP ਧੰਨਵਾਦ\N_NN ਕਰਦੀ\V_VM_VF ਹੈ।\V_VAUX
PBED1010	ਜਿਸ\PR_PRF ਨੇ\PSP ਨਾ\RP_NEG ਸਿਰਫ਼\N_NN ਉਸ\PR_PRP ਨੂੰ\PSP ਵਧੀਆ\JJ ਭੂਮਿਕਾ\N_NN ਦਿੱਤੀ,\V_VM_VF ਬਲਕਿ\CC_CCS ਜ਼ਰੀਨਾ\N_NNP ਵਹਾਬ\N_NNP ਜਿਹੀ\N_NN ਅਭਿਨੇਤਰੀ\N_NN ਨਾਲ\N_NN ਕੰਮ\N_NN ਕਰਕੇ\V_VM_VF ਸਿੱਖਣ\V_VM_VNF ਦਾ\PSP ਮੌਕਾ\N_NN ਵੀ\RP_RPD ਦਿੱਤਾ\V_VM_VF |\RD_PUNC
