ID	Value
PBLTD3001	ਅੱਵਲ\JJ ਹਮਦ\N_NNP ਜਨਾਬ\N_NNP ਅੱਲਾਹ\N_NNP ਦੀ\PSP ਨੂੰ\PSP ,\RD_PUNC
PBLTD3002	ਜਿਹੜਾ\PR_PRL ਕੁਦਰਤੀ\JJ ਖੇਲ\N_NN ਬਣਾਂਵਦਾ\V_VM_VF ਈ\RP_RPD ।\RD_PUNC
PBLTD3003	ਚੌਦਾਂ\QT_QTC ਤਬਕਾਂ\N_NN ਦਾ\PSP ਨਕਸ਼\N_NN ਨਿਗਾਰ\N_NN ਕਰਕੇ\V_VM_VNF ,\RD_PUNC
PBLTD3004	ਰੰਗਾ\N_NN ਰੰਗ\N_NN ਦੇ\PSP ਭੇਖ\N_NN ਰਚਾਂਵਦਾ\V_VM_VF ਈ\RP_RPD ।\RD_PUNC
PBLTD3005	ਸਫਾਂ\N_NN ਪਿਛਲੀਆਂ\JJ ਸਭ\DM_DMQ ਸਮੇਟ\V_VM ਲੈਂਦਾ\V_VM_VF ,\RD_PUNC
PBLTD3006	ਅੱਗੇ\RB ਹੋਰ\JJ ਹੀ\RP_RPD ਹੋਰ\JJ ਵਿਛਾਂਵਦਾ\V_VM_VF ਈ\RP_RPD ।\RD_PUNC
PBLTD3007	ਸ਼ਾਹ\N_NNP ਮੁਹੰਮਦਾ\N_NNP ਓਸ\DM_DMD ਤੋਂ\PSP ਸਦਾ\RB ਡਰੀਏ\V_VM_VF ,\RD_PUNC
PBLTD3008	ਬਾਦਸ਼ਾਹਾਂ\N_NN ਥੀਂ\RP_RPD ਭੀਖ\N_NN ਮੰਗਾਵਦਾ\V_VM_VF ਈ\RP_RPD ।\RD_PUNC
PBLTD3009	ਇਹ\DM_DMD ਤੇ\RP_RPD ਜੀਆਂ\N_NN ਨੂੰ\PSP ਪਕੜ\N_NN ਕੇ\V_VM_VNF ਮੋਹ\N_NN ਲੈਂਦੀ\V_VM_VF ,\RD_PUNC
PBLTD3010	ਦੁਨੀਆਂ\N_NN ਵੇਸਵਾ\N_NN ਦਾ\PSP ਰੱਖੇ\V_VM_VF ਭੇਸ\N_NN ਮੀਆਂ\N_NN ।\RD_PUNC
PBLTD3011	ਸਦਾ\RB ਨਹੀਂ\RP_NEG ਜੁਆਨੀ\N_NN ਤੇ\CC_CCD ਐਸ਼\N_NN ਮਾਪੇ\V_VM_VF ,\RD_PUNC
PBLTD3012	ਸਦਾ\N_NN ਨਹੀਂ\RP_NEG ਜੇ\PR_PRL ਬਾਲ\N_NN ਵਰੇਸ\N_NN ਮੀਆਂ\N_NN ।\RD_PUNC
PBLTD3013	ਸਦਾ\RB ਨਹੀਂ\RP_NEG ਜੇ\CC_CCS ਦੌਲਤਾਂ\N_NN ਫੀਲ\N_NN ਘੋੜੇ\N_NN ,\RD_PUNC
PBLTD3014	ਸਦਾ\RB ਨਹੀਂ\RP_NEG ਜੇ\CC_CCS ਰਾਜਿਆਂ\N_NN ਦੇਸ਼\N_NN ਮੀਆਂ\N_NN ।\RD_PUNC
PBLTD3015	ਸ਼ਾਹ\N_NNP ਮੁਹੰਮਦਾ\N_NNP ਸਦਾ\RB ਨਹੀਂ\RP_NEG ਰੂਪ\N_NN ਦੁਨੀਆਂ\N_NN ,\RD_PUNC
