ID	Value
PBAD5001	ਪੰਜਾਬ\N_NNP ਵਿਚ\PSP ਸਾਲ\N_NN 2004-2005\QT_QTC ਦੌਰਾਨ\RB ਕਮਾਦ\N_NN ਦੀ\PSP ਕਾਸ਼ਤ\N_NN 83\QT_QTC ਹਜ਼ਾਰ\QT_QTC ਹੈਕਟਰ\N_NN ਭੂਮੀ\N_NN ਵਿਚ\PSP ਕੀਤੀ\V_VM_VF ਗਈ\V_VM_VF ।\RD_PUNC
PBAD5002	ਗੰਨੇ\N_NN ਦਾ\PSP ਔਸਤ\N_NN ਝਾੜ\N_NN 575\QT_QTC ਕੁਇੰਟਲ\N_NN ਪ੍ਰਤੀ\N_NN ਹੈਕਟਰ\N_NN (\RD_SYM 230\QT_QTC ਕੁਇੰਟਲ\N_NN ਪ੍ਰਤੀ\N_NN ਏਕੜ\N_NN )\RD_SYM ਰਿਹਾ\V_VM_VF ।\RD_PUNC
PBAD5003	ਇਸ\DM_DMD ਸਾਲ\N_NN ਵਿਚ\PSP ਖੰਡ\N_NN ਦੀ\PSP ਪ੍ਰਾਪਤੀ\N_NN 9.7\QT_QTC ਪ੍ਰਤੀਸ਼ਤ\N_NN ਸੀ\V_VAUX ।\RD_PUNC
PBAD5004	ਸਿਫ਼ਾਰਿਸ਼\N_NN ਕੀਤੀਆਂ\V_VM_VF ਕਿਸਮਾਂ\N_NN ਦਾ\PSP ਬੀਜ\N_NN ਰੋਗਾਂ\N_NN ਤੋਂ\PSP ਰਹਿਤ\RP_NEG ਅਤੇ\CC_CCD ਸਿਹਤਮੰਦ\N_NN ਬੀਜ\N_NN ਵਾਲੀ\PSP ਫ਼ਸਲ\N_NN ਵਿਚੋਂ\PSP ਲੈ\V_VM ਕੇ\RP_RPD ਬੀਜੋ\V_VM_VF ।\RD_PUNC
PBAD5005	ਬੀਜ\N_NN ਦੇ\PSP ਮਾਤਰਾ\N_NN ਸਿਫ਼ਾਰਿਸ਼\N_NN ਦੇ\PSP ਮਤਾਬਕ\N_NN ਹੀ\RP_RPD ਪਾਓ\V_VM_VF ,\RD_PUNC ਤਾਂ\CC_CCD ਜੋ\DM_DMR ਫ਼ਸਲ\N_NN ਵਿਚ\PSP ਪਾੜੇ\N_NN ਨਾ\RP_NEG ਰਹਿਣ\V_VM_VNF ।\RD_PUNC
PBAD5006	ਜਿਸ\PR_PRL ਖੇਤ\N_NN ਵਿਚ\PSP ਰੱਤਾ\N_NN ਰੋਗ\N_NN ਜਾਂ\CC_CCD ਸੋਕੜੇ\N_NN ਦੀ\PSP ਬਿਮਾਰੀ\N_NN ਹੋਵੇ\V_VM_VF ਉੱਥੇ\DM_DMR ਅਗਲੇ\RB ਸਾਲ\N_NN ਗੰਨਾ\N_NN ਨਾ\RP_NEG ਬੀਜੋ\V_VM_VF ।\RD_PUNC
PBAD5007	ਪਛੇਤੀ\N_NN ਬੀਜੀ\N_NN ਫ਼ਸਲ\N_NN ਜਾੜ\N_NN ਘੱਟ\QT_QTF ਮਾਰਦੀ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
PBAD5008	ਨਦੀਨ\N_NN ਨਾਸ਼ਕ\N_NN ਦਵਾਈਆਂ\N_NN ਦੀ\PSP ਵਰਤੋਂ\PSP ਕਰਕੇ\V_VM_VF ਜਾਂ\CC_CCD ਗੋਡੀ\N_NN ਆਦਿ\RP_CL ਨਾਲ\PSP ਫ਼ਸਲ\N_NN ਨੂੰ\PSP ਨਦੀਨਾਂ\N_NN ਤੋਂ\PSP ਰਹਿਤ\RP_NEG ਰੱਖੋ\V_VM_VF ।\RD_PUNC
PBAD5009	ਸਿਫ਼ਾਰਿਸ਼\N_NN ਤੋਂ\PSP ਜ਼ਿਆਦਾ\JJ ਨਾਈਟ੍ਰੋਜਨ\N_NN ਵਾਲੀ\PSP ਖਾਦ\N_NN ਪਾਉਣ\V_VM_VNF ਨਾਲ\PSP ਫ਼ਸਲ\N_NN ਡਿੱਗ\V_VM_VNF ਜਾਂਦੀ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
PBAD5010	ਇਸ\DM_DMD ਨਾਲ\PSP ਇਸਦਾ\DM_DMR ਝਾੜ\N_NN ਅਤੇ\CC_CCD ਖੰਡ\N_NN ਦੀ\PSP ਮਾਤਰਾ\N_NN ਵੀ\RP_RPD ਘੱਟ\QT_QTF ਜਾਂਦੀ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
