ID	Value
PBSTD1	ਦੇਸ਼\N_NN ਅੰਦਰ\RB ਵਿਗਿਆਨ\N_NN ਅਤੇ\CC_CCD ਖੋਜਾਂ\N_NN ਦੇ\PSP ਮਿਆਰ\N_NN ਨੂੰ\PSP ਉੱਚਾ\RB ਚੁੱਕਣ\V_VM_VF ਲਈ\PSP ਪ੍ਰਧਾਨ\N_NN ਮੰਤਰੀ\N_NN ਦੇ\PSP ਵਿਗਿਆਨ\N_NN ਸਲਾਹਕਾਰ\N_NN ਕੌਂਸਲ\N_NN ਵੱਲੋਂ\PSP ਪ੍ਰੋਫੈਸਰ\N_NN ਸੀ.ਐਨ.\N_NN ਰਾਓ\N_NN ਦੀ\PSP ਪ੍ਰਧਾਨਗੀ\N_NN ਹੇਠ\RB ਅਜਿਹੀਆਂ\PR_PRL ਸੰਸਥਾਵਾਂ\N_NN ਦੇ\PSP ਨਿਰਮਾਣ\N_NN ਦੀ\PSP ਸਿਫ਼ਾਰਸ਼\JJ ਕੀਤੀ\V_VM_VF ਗਈ\V_VM_VF ਜਿਸ\PR_PRL ਨਾਲ\PSP ਦੇਸ਼\N_NN ਦਾ\PSP ਵਿਗਿਆਨਕ\N_NN ਢਾਂਚਾ\N_NN ਮਜ਼ਬੂਤ\RB ਹੋ\V_VAUX ਸਕੇ\V_VM_VF ਅਤੇ\CC_CCD ਇਹ\DM_DMD ਹੋਰਨਾਂ\N_NN ਵਿਕਸਤ\N_NN ਦੇਸ਼ਾਂ\N_NN ਦੀ\PSP ਬਰਾਬਰੀ\N_NN ਕਰ\V_VM_VF ਸਕੇ\V_VM_VF ।\RD_PUNC
PBSTD2	ਸੋ\CC_CCD ,\RD_PUNC ਭਾਰਤ\N_NNP ਸਰਕਾਰ\N_NN ਨੇ\PSP ਮਨੁੱਖੀ\N_NN ਸਰੋਤ\N_NN ਵਿਕਾਸ\N_NN ਮੰਤਰਾਲੇ\N_NN ਦੇ\PSP ਸਹਿਯੋਗ\N_NN ਨਾਲ\PSP IISER’s\RD_RDF (Indian\RD_RDF Institute\RD_RDF of\RD_RDF Science\RD_RDF Education\RD_RDF &\RD_RDF Research)\RD_RDF ਦਾ\PSP ਨਿਰਮਾਣ\N_NN ਕਰਵਾਇਆ\V_VM_VF ।\RD_PUNC
PBSTD3	ਅੱਜ\RB ਪੰਜ\RB IISER’s\RD_RDF ਦੇਸ਼\N_NN ਭਰ\RB ਵਿੱਚ\PSP ਪੂਰੀ\RB ਤਰਾਂ\RB ਕਾਰਜਸ਼ੀਲ\N_NN ਹਨ\V_VAUX :-\RD_PUNC IISER\RD_RDF ਕੋਲਕਾਤਾ,\N_NNP ਪੱਛਮੀ\N_NNP ਬੰਗਾਲ\N_NNP (\RD_PUNC 2006\QT_QTC )\RD_PUNC ,\RD_PUNC IISER\RD_RDF ਪੁਣੇ\N_NNP ,\RD_PUNC ਮਹਾਰਾਸ਼ਟਰ\N_NNP (\RD_PUNC 2006\QT_QTC )\RD_SYM ,\RD_PUNC IISER\RD_RDF ਮੁਹਾਲੀ\N_NNP ,\RD_PUNC ਪੰਜਾਬ\N_NNP (\RD_SYM 2007\N_NN )\RD_SYM ,\RD_PUNC IISER\RD_RDF ਭੋਪਾਲ\N_NNP ,\RD_PUNC ਮੱਧ\RD_PUNC ਪ੍ਰਦੇਸ਼\N_NN (\RD_PUNC 2008\QT_QTC )\RD_PUNC ਅਤੇ\CC_CCD IISER\RD_RDF ਤਿਰੂਵਨੰਤਪੁਰਮ\N_NNP ,\RD_PUNC ਕੇਰਲ\N_NNP (\RD_PUNC 2008\QT_QTO )\RD_PUNC ।\RD_PUNC
PBSTD4	‘ਆਈ.ਆਈ.ਐੱਸ.ਈ.ਆਰ’\N_NN ਦਾ\PSP ਮੁੱਖ\JJ ਮੰਤਵ\N_NN ਵਿਗਿਆਨ\N_NN ਦੇ\PSP ਸਿਰਕੱਢ\N_NN ਖੇਤਰਾਂ\N_NN ‘ਚ\PSP ਖੋਜ\N_NN ਕਾਰਜਾਂ\N_NN ਨੂੰ\PSP ਉਤਸ਼ਾਹਿਤ\JJ ਕਰਨਾ\RB ਅਤੇ\CC_CCD ਅੰਡਰ-ਗਰੈਜੂਏਟ\N_NN ਅਤੇ\CC_CCD ਪੋਸਟ-ਗਰੈਜੂਏਟ\N_NN ਪੱਧਰ\N_NN ‘ਤੇ\CC_CCD ਮਿਆਰੀ\N_NN ਵਿਗਿਆਨਕ\N_NN ਸਿੱਖਿਆ\N_NN ਮੁਹੱਈਆ\V_VM_VF ਕਰਵਾਉਣਾ\V_VM_VINF ਹੈ\V_VAUX ।\RD_PUNC
PBSTD5	‘ਆਈ.ਆਈ.ਐੱਸ.ਈ.ਆਰ’\N_NN ਦਾ\PSP ਮੁਢਲਾ\JJ ਉਦੇਸ਼\N_NN ਹੋਣਹਾਰ\N_NN ਨੌਜਵਾਨ\N_NN ਵਿਗਿਆਨੀਆਂ\N_NN ਦੇ\PSP ਵਿਗਿਆਨਕ\N_NN ਕਰੀਅਰ\N_NN ਦੀ\PSP ਮਜ਼ਬੂਤੀ\JJ ਲਈ\PSP ਪੈਰਵਾਈ\N_NN ਕਰਨਾ\RB ਅਤੇ\CC_CCD ਇਸ\DM_DMD ਨੂੰ\PSP ਜਾਰੀ\N_NN ਰੱਖਣ\V_VM ਲਈ\PSP ਹਰ\DM_DMQ ਸੰਭਵ\N_NN ਉਪਰਾਲੇ\N_NN ਕਰਨਾ\V_VM_VINF ਹੈ\V_VAUX ।\RD_PUNC
PBSTD6	ਵਿਗਿਆਨਕ\N_NN ਕਰੀਅਰ\N_NN ਤੋਂ\PSP ਭਾਵ\N_NN ਹੁੰਦਾ\N_NN ਹੈ\V_VAUX -\RD_PUNC ਕਿਸੇ\PR_PRQ ਪ੍ਰਾਈਵੇਟ\N_NN ਜਾਂ\CC_CCD ਪਬਲਿਕ\N_NN ਸੈਕਟਰ\N_NN ਦੀ\PSP ਰਿਸਰਚ\N_NN ਐਂਡ\N_NN ਡਿਵਲੈਪਮੈਂਟ\N_NN ਲੈਬ\N_NN ਵਿੱਚ\PSP ਕੰਮ\N_NN ਕਰਨਾ\RB ਅਤੇ\CC_CCD ਕਿਸੇ\PR_PRQ ਖੋਜ\N_NN ਸੰਸਥਾ\N_NN ਵਿੱਚ\PSP ਕਰੀਅਰ\N_NN ਵਜੋਂ\RB ਅਕਾਦਮਿਕ\N_NN ਤੇ\CC_CCD ਵਿਗਿਆਨਕ\N_NN ਖੋਜ\N_NN ਜਾਰੀ\N_NN ਰੱਖਣਾ\V_VM_VINF ਜਾਂ\CC_CCD ਕੋਈ\DM_DMQ ਨਿੱਜੀ\N_NN ਵਿਗਿਆਨ\N_NN ਅਨੁਕੂਲ\N_NN ਵਪਾਰ\N_NN ਖੋਲ\V_VM ਲੈਣਾ\V_VM_VINF ।\RD_PUNC
PBSTD7	‘ਆਈ.ਆਈ.\N_NN ਐੱਸ.ਈ.ਆਰ’\N_NN ਹਰ\JJ ਵਿਦਿਆਰਥੀ\N_NN ਦੇ\PSP ਇਸ\DM_DMD ਉਦੇਸ਼\N_NN ਪ੍ਰਾਪਤੀ\N_NN ਲਈ\PSP ਹਰ\JJ ਸੰਭਵ\N_NN ਯਤਨ\N_NN ਕਰਦੀ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
PBSTD8	ਹਰ\JJ ਇੱਕ\RB ‘ਆਈ.ਆਈ.ਐੱਸ.ਈ.ਆਰ’\N_NN 3\QT_QTC ਕਿਸਮ\N_NN ਦੇ\PSP ਕੋਰਸ\N_NN ਕਰਵਾਉਂਦੀ\V_VM_VF ਹੈ\V_VAUX -\RD_PUNC
PBSTD9	(1)\QT_QTC 5\QT_QTC ਸਾਲਾ\N_NN ਇੰਟੇਗ੍ਰੇਟਿਡ\N_NN BS-MS\RD_RDF ਦੋਹਰੀ\RB ਡਿਗਰੀ\N_NN ਕੋਰਸ\N_NN ,\RD_PUNC
PBSTD10	(2)\QT_QTC ਸਾਰੇ\RB ਸਾਇੰਸਿਜ਼\N_NN ਅਤੇ\CC_CCD ਮੈਥੇਮੈਟਿਕਸ\N_NN ਖੇਤਰਾਂ\N_NN ਵਿੱਚ\PSP ਪੀ.ਐਚ.ਡੀ.\N_NN ਪ੍ਰੋਗਰਾਮ\N_NN |\RD_PUNC
