ID	Value
PBSPD1	ਲੰਬੇ\JJ ਸਮੇਂ\N_NN ਤੋਂ\PSP ਦੋਸਤ\N_NN ਰੋਹਨ\N_NNP ਬੋਪੰਨਾ\N_NNP ਅਤੇ\CC_CCD ਮਹੇਸ਼\N_NNP ਭੂਪਤੀ\N_NNP ਆਪਣੇ-ਆਪਣੇ\PR_PRF ਜੋੜੀਦਾਰਾਂ\N_NN ਨਾਲ\PSP ਦੁਬਈ\N_NNP ਟੈਨਿਸ\N_NN ਚੈਂਪੀਅਨਸ਼ਿਪ\N_NN ਦੇ\PSP ਸੈਮੀਫਾਈਨਲ\N_NN `ਚ\PSP ਆਹਮੋ-ਸਾਹਮਣੇ\RB ਹੋਣਗੇ\V_VM_VF |\RD_PUNC
PBSPD2	ਅੱਜ\RB ਭਾਰਤ\N_NNP ਦੇ\PSP ਦੋਵਾਂ\QT_QTC ਖਿਡਾਰੀਆਂ\N_NN ਨੇ\PSP ਆਪਣੇ-ਆਪਣੇ\PR_PRF ਜੋੜੀਦਾਰਾਂ\N_NN ਨਾਲ\N_NN ਕੁਆਰਟਰ\N_NN ਫਾਈਨਲ\N_NN ਮੈਚ\N_NN ਜਿੱਤ\V_VM ਲਏ\V_VM_VF |\RD_PUNC
PBSPD3	ਬੋਪੰਨਾ\N_NNP ਤੇ\CC_CCD ਰਾਮ\N_NNP ਦੀ\PSP ਦੀ\PSP ਗੈਰ\JJ ਦਰਜਾ\N_NN ਪ੍ਰਾਪਤ\N_NN ਜੋੜੀ\N_NN ਨੇ\PSP ਵਿਕਟਰ\N_NNP ਹੈਨਸਕੋ\N_NNP ਤੇ\CC_CCD ਲੋਕਾਸ\N_NNP ਰੋਸਲ\N_NNP ਦੀ\PSP ਜੋੜੀ\N_NN ਨੂੰ\PSP ਇਕ\QT_QTC ਸੰਘਰਸ਼ਪੂਰਨ\JJ ਮੁਕਾਬਲੇ\N_NN `ਚ\PSP 79\QT_QTC ਮਿੰਟ\N_NN ਤੱਕ\PSP ਚੱਲੇ\V_VM_VF ਮੁਕਾਬਲੇ\N_NN `ਚ\PSP 4-6\QT_QTC ,\RD_PUNC 7-5\QT_QTC ,\RD_PUNC 10-4\QT_QTC ਨਾਲ\PSP ਹਰਾਇਆ\V_VM_VF |\RD_PUNC
PBSPD4	ਇਸ\DM_DMD ਮੈਚ\N_NN `ਚ\PSP ਭੂਪਤੀ\N_NNP ਤੇ\CC_CCD ਲਾਡਰਾ\N_NNP ਦੀ\PSP ਜੋੜੀ\N_NN ਨੇ\PSP ਸ਼ਾਨਦਾਰ\JJ ਖੇਡ\N_NN ਦਿਖਾਉਂਦਿਆਂ\V_VM_VF ਤੀਜੇ\QT_QTO ਸੈੱਟ\N_NN `ਚ\PSP 0-2\QT_QTC ਨਾਲ\PSP ਪਛੜਨ\V_VM_VNF ਤੋਂ\PSP ਬਾਅਦ\RB ਵਾਪਸੀ\N_NN ਕਰਦਿਆਂ\V_VM_VF ਟਾਈਬ੍ਰੇਕਰ\N_NN ਤੱਕ\PSP ਚੱਲੇ\V_VM_VF ਤੀਸਰੇ\QT_QTO ਸੈੱਟ\N_NN ਨੂੰ\PSP ਆਪਣੇ\PR_PRF ਨਾਂਅ\N_NN ਕੀਤਾ\V_VM_VF |\RD_PUNC
PBSPD5	ਇਸ\PR_PRL ਨਾਲ\PSP ਇਹ\PR_PRF ਤਾਂ\PSP ਯਕੀਨੀ\JJ ਹੋ\V_VM_VNF ਗਿਆ\V_VM_VF ਕਿ\CC_CCS ਹੁਣ\RB ਖਿਤਾਬ\N_NN ਲਈ\PSP ਭਾਰਤ\N_NNP ਦਾ\PSP ਇਕ\QT_QTC ਖਿਡਾਰੀ\N_NN ਤਾਂ\PSP ਜਰੂਰ\RB ਭਿੜੇਗਾ\V_VM_VF |\RD_PUNC
PBSPD6	ਕਾਬਲੇਗੌਰ\N_NN ਹੈ\V_VAUX ਕਿ\CC_CCS ਸਿੰਗਲਜ਼\N_NN ਵਰਗ\N_NN 'ਚ\PSP ਬੀਤੇ\JJ ਦਿਨੀ\N_NN ਭਾਰਤੀ\JJ ਖਿਡਾਰੀ\N_NN ਸੋਮਦੇਵ\N_NNP ਬਰਮਨ\N_NNP ਵਿਸ਼ਵ\N_NN ਦੇ\PSP ਸੱਤਵੇਂ\QT_QTO ਨੰਬਰ\N_NN ਦੇ\PSP ਖਿਡਾਰੀ\N_NN ਅਰਜਨਟੀਨਾ\N_NNP ਦੇ\PSP ਜੋਆਲ\N_NNP ਮਾਰਟਿਨ\N_NNP ਡੇਲ\N_NNP ਪੋਤਰੋ\N_NNP ਦੇ\PSP ਹੱਥੋ\RB ਹਾਰ\V_VM ਗਏ\V_VM_VF ਸਨ\V_VAUX |\RD_PUNC 
PBSPD7	ਮੁੰਬਈ\N_NNP ਸਕੂਲ\N_NNP ਸਪੋਰਟਸ\N_NNP ਐਸੋਸ਼ੀਏਸ਼ਨ\N_NNP (\RD_SYM ਐਮ.\N_NNP ਐਸ.\N_NNP ਐਸ.\N_NNP ਏ.\N_NNP )\RD_SYM ਮੈਂਬਰਾਂ\N_NN ਨੇ\PSP ਉਸ\DM_DMD ਸਕੋਰ\N_NN ਸ਼ੀਟ\N_NN ਨੂੰ\PSP ਪਾੜ\N_NN ਦਿੱਤਾ\V_VM_VF ,\RD_PUNC ਜਿਸ\PR_PRL `ਚ\PSP ਸੇਂਟ\N_NNP ਜ਼ੇਵੀਅਰ\N_NNP ਦੇ\PSP ਖਿਲਾਫ\N_NN ਵਿਦਿਆ\N_NNP ਮੰਦਿਰ\N_NNP ਵਲੋਂ\PSP ਖੇਡਦਿਆਂ\V_VM_VF ਸਚਿਨ\N_NNP ਤੇਂਦੁਲਕਰ\N_NNP ਤੇ\PSP ਵਿਨੋਦ\N_NNP ਕਾਂਬਲੀ\N_NNP ਦੀ\PSP ਜੋੜੀ\N_NN ਨੇ\PSP 664\QT_QTO ਦੌੜਾਂ\N_NN ਦੀ\PSP ਸਾਂਝੇਦਾਰੀ\N_NN ਨਿਭਾ\V_VM_VF ਕੇ\V_VM_VNF ਵਿਸ਼ਵ\N_NN ਰਿਕਾਰਡ\N_NN ਕਾਇਮ\N_NN ਕੀਤਾ\V_VM_VF ਸੀ\V_VAUX |\RD_PUNC
PBSPD8	ਇਹ\DM_DMD ਮੈਚ\N_NN 24\QT_QTC ਫਰਵਰੀ\N_NNP 1988\QT_QTC ਨੂੰ\PSP ਖੇਡਿਆ\V_VM_VF ਗਿਆ\V_VM_VF ਸੀ\V_VAUX |\RD_PUNC
PBSPD9	ਵਿਸ਼ਵ\N_NN ਦੇ\PSP ਸਾਬਕਾ\JJ ਨੰਬਰ\N_NN ਇਕ\QT_QTC ਟੈਨਿਸ\N_NN ਖਿਡਾਰੀ\N_NN ਸਪੇਨ\N_NNP ਦੇ\PSP ਰਾਫੇਲ\N_NNP ਨਡਾਲ\N_NNP ਨੇ\PSP ਸੱਟ\N_NN ਤੋਂ\PSP ਬਾਅਦ\RB ਸ਼ਾਨਦਾਰ\JJ ਵਾਪਸੀ\N_NN ਕਰਦਿਆਂ\V_VM_VF ਅਰਜਨਟੀਨਾ\N_NNP ਦੇ\PSP ਮਾਰਟਿਨ\N_NNP ਐਲੰਡ\N_NNP ਨੂੰ\PSP 6-0\QT_QTC ,\RD_PUNC 6-4\QT_QTC ਨਾਲ\PSP ਹਰਾ\V_VM_VF ਕੇ\V_VM_VNF ਮੈਕਸੀਕੋ\N_NNP ਓਪਨ\N_NN ਦੇ\PSP ਕੁਆਰਟਰ\N_NN ਫਾਈਨਲ\N_NN `\RD_PUNC ਚ\PSP ਪ੍ਰਵੇਸ਼\N_NN ਕਰ\V_VM ਲਿਆ\V_VM_VF |\RD_PUNC
PBSPD10	ਕਲੇਅ\N_NN ਕੋਰਟ\N_NN `\RD_PUNC ਤੇ\PSP ਹੋ\V_VM ਰਹੇ\V_VM_VF ਇਸ\DM_DMD ਟੂਰਨਾਮੈਂਟ\N_NN `\RD_PUNC ਚ\PSP ਦੂਸਰਾ\QT_QTO ਦਰਜਾ\N_NN ਪ੍ਰਾਪਤ\N_NN ਨਡਾਲ\N_NNP ਨੇ\PSP ਪਹਿਲਾ\QT_QTO ਸੈੱਟ\N_NN ਆਸਾਨੀ\JJ ਨਾਲ\PSP ਜਿੱਤ\N_NN ਲਿਆ\V_VM_VF ਹਾਲਾਂਕਿ\CC_CCS ਦੂਜੇ\N_NN ਸੈੱਟ\N_NN `\RD_PUNC ਚ\PSP ਅਰਜਨਟੀਨਾ\N_NNP ਦੇ\PSP ਖਿਡਾਰੀ\N_NN ਨੇ\PSP ਨਡਾਲ\N_NNP ਨੂੰ\PSP ਕੁਝ\DM_DMQ ਟੱਕਰ\N_NN ਦੇਣ\V_VM_VNF ਦੀ\PSP ਕੋਸ਼ਿਸ਼\N_NN ਕੀਤੀ\V_VM_VF ਪ੍ਰੰਤੂ\CC_CCS ਫਿਰ\RB ਵੀ\RP_RPD ਉਹ\PR_PRP 6-4\QT_QTC ਨਾਲ\PSP ਦੂਸਰਾ\QT_QTO ਸੈੱਟ\N_NN ਹਾਰ\V_VM ਗਿਆ\V_VM_VF |\RD_PUNC
